kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Timur,"Cipinang, Jakarta Timur",32,60,2,2,Tidak,Tidak,932000000.0
Jakarta Utara,"Sunter, Jakarta Utara",144,225,3,2,Tidak,Tidak,3600000000.0
Jakarta Pusat,"Duren Sawit Jakarta timur                                        Cempaka Putih, Jakarta Pusat",92,145,4,4,Ada,Tidak,2300000000.0
Jakarta Selatan,Jati Asih Kota Bekasi                                        Jakarta Selatan,60,37,2,2,Ada,Tidak,525000000.0
Jakarta Timur,"Jati Asih Kota Bekasi                                        Cipayung, Jakarta Timur",60,37,2,2,Ada,Tidak,525000000.0
Jakarta Timur,"Jln Raya Parpostel                                        Cakung, Jakarta Timur",78,48,2,2,Ada,Tidak,504000000.0
Jakarta Selatan,"Kranggan, Jatisampurna ( Cibubur )                                        Jagakarsa, Jakarta Selatan",90,80,3,3,Ada,Tidak,1261000000.0
Jakarta Pusat,"Jln Raya Parpostel                                        Gambir, Jakarta Pusat",78,48,2,2,Ada,Tidak,504000000.0
Jakarta Timur,"Jln Raya Parpostel                                        Makasar, Jakarta Timur",78,48,2,2,Ada,Tidak,504000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",60,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Condet, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Jalan Radar Auri Cimanggis, Depok 16452, Indonesia                                        Cijantung, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",60,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Jalan Kayu Manis Timur, Jakarta Timur, Indonesia                                        Matraman, Jakarta Timur",437,332,4,4,Tidak,Tidak,8550000000.0
Jakarta Selatan,"Kebayoran Lama, Jakarta Selatan",535,800,6,6,Ada,Ada,45000000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",1200,800,8,8,Ada,Tidak,6450000000.0
Jakarta Selatan,"Kalibata, Jakarta Selatan",200,80,4,4,Tidak,Tidak,1350000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",355,400,4,3,Tidak,Tidak,3200000000.0
Jakarta Barat,"Kebon Jeruk, Jakarta Barat",201,300,5,5,Tidak,Tidak,4600000000.0
Jakarta Barat,"Pos Pengumben, Jakarta Barat",421,320,3,3,Tidak,Tidak,3800000000.0
Jakarta Barat,"Komplek Kebon Jeruk Intercon                                        Kebon Jeruk, Jakarta Barat",268,368,4,4,Tidak,Tidak,5200000000.0
Jakarta Selatan,"Permata Hijau, Jakarta Selatan",407,350,4,3,Tidak,Tidak,8800000000.0
Jakarta Barat,"Joglo, Jakarta Barat",723,350,5,4,Tidak,Tidak,5700000000.0
Jakarta Selatan,"Pondok Indah, Jakarta Selatan",365,580,4,2,Ada,Ada,27000000000.0
Jakarta Timur,"Cililitan, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Selatan,"Pondok Labu, Jakarta Selatan",498,430,3,3,Ada,Tidak,10000000000.0
Jakarta Barat,"Jalan Penyelesaian Tomang IV                                        Meruya, Jakarta Barat",403,300,3,3,Tidak,Tidak,3100000000.0
Jakarta Barat,"Jalan Kembang Abadi IV                                        Kembangan, Jakarta Barat",150,200,4,4,Tidak,Tidak,4600000000.0
Jakarta Selatan,"Petukangan, Jakarta Selatan",589,400,5,5,Tidak,Tidak,7700000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",87,130,4,4,Tidak,Tidak,1900000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",68,68,3,2,Ada,Tidak,870000000.0
Jakarta Timur,Jakarta Timur,63,77,3,3,Ada,Tidak,1581920000.0
Jakarta Barat,"Jl. Joglo Raya                                        Joglo, Jakarta Barat",126,200,3,3,Tidak,Tidak,2800000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",323,500,5,5,Tidak,Tidak,4100000000.0
Jakarta Timur,"Munjul, Jakarta Timur",50,60,2,2,Tidak,Tidak,750000000.0
Jakarta Selatan,Jakarta Selatan,135,53,3,1,Ada,Ada,380000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",60,91,3,3,Ada,Tidak,1900000000.0
Jakarta Utara,"Kelapa Gading Barat, Jakarta Utara",80,112,3,3,Ada,Tidak,2300000000.0
Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",1993,200,8,6,Tidak,Tidak,59790000000.0
Jakarta Selatan,"Tran Jagakarsa, Jakarta Selatan 12620, Indonesia                                        Jagakarsa, Jakarta Selatan",95,195,6,6,Ada,Tidak,2950000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",68,130,3,3,Tidak,Tidak,1700000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",124,230,4,4,Tidak,Tidak,2975000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",70,120,3,3,Tidak,Tidak,1450000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",69,120,4,3,Tidak,Tidak,1450000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",69,140,4,3,Tidak,Tidak,1450000000.0
